SENT_ID	MDD	NDD	MAXIMUM_TREE_DEPTH	#_OF_TOKENS	#_OF_CLAUSES	#_OF_T-UNITS	CLAUSES_PER_T-UNIT
ssj59.361.1458	2.75	1.573641085840596	6	22	4	1	4.0
ssj69.429.1637	3.176470588235294	0.8101421138541047	6	21	5	2	2.5
elexiswsd1.277.sl.131093	1.3333333333333333	1.3013448427221919	4	8	1	1	1.0
ssj440.2412.8471	1.3333333333333333	0.6081976621622466	3	5	1	1	1.0
ssj304.1848.6539	2.9	1.406110474312224	4	23	2	2	1.0
ssj216.1437.5205	1.875	1.215831067634594	3	10	2	2	1.0
ssj230.1529.5536	2.1666666666666665	1.2739823928775686	4	12	2	1	2.0
ssj430.2380.8364	1.5555555555555556	1.2060856807231253	6	13	1	1	1.0
ssj247.1598.5795	1.75	0.8266785731844679	3	6	2	1	2.0
ssj323.1916.6831	2.948717948717949	1.4435575213911649	10	46	3	1	3.0
ssj83.547.2083	3.3902439024390243	2.0810700458738522	8	47	4	1	4.0
ssj142.951.3629	1.5	1.2951335827229133	6	12	1	1	1.0
elexiswsd1.646.sl.131464	1.4	1.1613939001557827	3	7	1	1	1.0
ssj27.162.661	2.652173913043478	1.9118961245280428	6	29	4	3	1.3333333333333333
ssj38.234.941	1.2	1.315544579983041	3	7	1	1	1.0
ssj28.167.671	2.2941176470588234	1.828711694848678	5	21	1	1	1.0
elexiswsd1.1358.sl.132180	2.6	1.3947287378687716	5	14	1	1	1.0
ssj304.1848.6537	2.9130434782608696	0.4985487045027584	5	28	4	3	1.3333333333333333
ssj417.2328.8204	3.25	1.417823429103459	5	25	3	2	1.5
ssj85.566.2153	3.6666666666666665	1.8120051499054235	6	31	1	1	1.0
ssj162.1113.4108	3.0	1.1622819998564102	8	27	5	3	1.6666666666666667
ssj124.789.2994	2.1538461538461537	1.613831814685211	5	17	1	1	1.0
ssj139.888.3412	2.0	1.3013448427221919	3	14	1	1	1.0
ssj277.1717.6100	3.375	0.8630462173553428	4	19	2	1	2.0
ssj118.765.2896	2.7037037037037037	1.54917559247213	5	31	6	5	1.2
elexiswsd1.1606.sl.132431	2.2777777777777777	1.7732781166369622	5	22	2	2	1.0
ssj131.826.3146	2.6	0.6539264674066639	3	7	2	1	2.0
elexiswsd1.933.sl.131752	3.4285714285714284	1.4414100840661022	5	24	3	2	1.5
elexiswsd1.101.sl.130917	1.5	1.3274028432916989	4	10	1	1	1.0
ssj86.569.2160	3.0434782608695654	1.6060386283413883	6	28	2	1	2.0
ssj214.1422.5164	2.5789473684210527	1.564558941478952	5	25	4	4	1.0
ssj206.1384.5017	5.324324324324325	1.0290528748423755	8	46	3	2	1.5
ssj480.2597.9259	2.466666666666667	1.4241124635367473	5	19	2	1	2.0
ssj288.1764.6272	3.217391304347826	1.4977885193576645	7	32	3	2	1.5
ssj61.370.1485	4.4523809523809526	1.2712755451844935	9	53	5	1	5.0
ssj312.1878.6688	3.4545454545454546	0.30583033975114277	4	19	1	1	1.0
elexiswsd1.1451.sl.132273	2.3529411764705883	1.8033938868643882	6	21	2	1	2.0
ssj371.2137.7604	3.2	1.3744360978112327	8	47	5	4	1.25
elexiswsd1.422.sl.131238	3.9473684210526314	0.7923175357732957	5	25	1	1	1.0
elexiswsd1.788.sl.131606	2.176470588235294	1.332049284000045	6	22	2	1	2.0
ssj421.2342.8244	1.5	0.6342556627317537	3	7	2	2	1.0
ssj116.738.2785	3.0	1.9356005054539456	7	30	3	2	1.5
ssj100.641.2466	2.7333333333333334	0.34850323494900726	5	19	2	1	2.0
ssj47.317.1289	1.5	1.1835618070658083	4	9	2	1	2.0
ssj315.1886.6717	1.5714285714285714	0.5209699507845995	5	9	1	1	1.0
ssj292.1782.6330	1.4285714285714286	1.5121598652029518	4	10	1	1	1.0
ssj375.2159.7668	2.6333333333333333	1.2816543643602665	10	33	4	2	2.0
ssj335.1980.7033	3.24	2.1175124976230992	8	31	6	1	6.0
ssj24.118.497	5.885714285714286	1.6712481785321414	8	45	4	1	4.0
ssj201.1348.4861	2.0	0.6931471805599453	3	7	1	1	1.0
ssj413.2298.8107	2.05	1.4731735241866242	8	25	6	5	1.2
ssj198.1326.4798	2.619047619047619	1.5991712421925817	5	24	3	3	1.0
ssj456.2512.8902	4.377358490566038	1.7911751773926412	7	62	5	3	1.6666666666666667
ssj115.721.2704	2.125	1.5284022933575379	7	21	5	3	1.6666666666666667
ssj370.2130.7582	2.6666666666666665	0.08494951839769874	3	9	1	1	1.0
ssj433.2387.8377	2.2	0.5655677401868349	5	18	2	1	2.0
ssj438.2407.8456	2.090909090909091	1.612641239765429	5	13	1	1	1.0
ssj121.776.2931	4.4	1.25871492074678	5	19	2	1	2.0
elexiswsd1.79.sl.130893	2.0476190476190474	1.7785386154192289	6	24	2	1	2.0
ssj46.297.1202	2.0	0.0	3	6	1	1	1.0
ssj46.293.1182	2.391304347826087	2.082202499781144	7	28	3	1	3.0
ssj375.2156.7659	3.3333333333333335	1.8302399897961192	10	62	8	3	2.6666666666666665
ssj252.1610.5841	3.5217391304347827	1.753978048169368	5	25	1	1	1.0
elexiswsd1.1524.sl.132349	2.0	1.0986122886681098	4	11	1	1	1.0
ssj156.1064.3973	3.125	0.7961662222655805	7	20	3	1	3.0
ssj370.2119.7540	1.6666666666666667	1.2809338454620642	3	9	2	1	2.0
ssj198.1324.4778	2.7857142857142856	1.190904082907269	4	18	3	1	3.0
ssj413.2301.8114	2.2	0.9121413304668073	3	7	1	1	1.0
ssj249.1603.5827	1.0	0.34657359027997275	2	3	1	1	1.0
ssj443.2422.8502	4.617647058823529	1.981548762309174	7	45	6	2	3.0
ssj310.1870.6633	1.9166666666666667	1.6315865295927685	4	14	1	1	1.0
ssj476.2573.9170	2.0	1.545521226679158	3	13	1	1	1.0
ssj165.1131.4166	3.0	0.05268025782891318	5	16	1	1	1.0
ssj20.91.371	2.5	1.2220423276338725	6	12	3	1	3.0
ssj193.1298.4689	2.0	1.4016801904532676	4	13	2	2	1.0
elexiswsd1.200.sl.131016	2.2222222222222223	1.1048235486673883	4	12	1	1	1.0
ssj456.2510.8893	2.857142857142857	1.5121598652029518	4	18	1	1	1.0
ssj238.1565.5673	2.5833333333333335	0.6399463604768267	7	30	4	3	1.3333333333333333
ssj459.2517.8924	2.0	0.0	3	6	1	1	1.0
ssj80.522.1971	2.5	1.039720770839918	4	12	2	1	2.0
ssj178.1209.4407	2.5	1.039720770839918	3	13	2	2	1.0
ssj294.1793.6356	2.3333333333333335	1.291035199120824	6	22	4	2	2.0
ssj333.1976.7019	2.5	0.8165772195257083	5	11	1	1	1.0
ssj6.34.151	2.4615384615384617	1.1864070896096288	4	17	2	2	1.0
ssj392.2226.7876	4.666666666666667	0.018183822085437482	6	29	3	1	3.0
ssj21.102.431	2.2	1.4614474748008623	5	19	3	1	3.0
ssj142.962.3669	2.0	1.4451858789480823	4	11	2	1	2.0
elexiswsd1.1427.sl.132249	2.1	1.2140741579846956	4	13	2	1	2.0
ssj21.104.444	1.0	0.34657359027997275	2	3	1	1	1.0
ssj142.955.3651	1.0	0.0	2	3	1	1	1.0
ssj455.2505.8831	6.125	1.3860860711772824	7	29	2	1	2.0
ssj292.1782.6331	2.375	0.17472333335331355	4	11	2	1	2.0
ssj126.804.3039	2.4347826086956523	1.5737693677726026	8	28	5	2	2.5
ssj142.941.3602	1.0	0.6931471805599453	2	4	1	1	1.0
ssj105.673.2556	2.6923076923076925	1.5345292995968915	5	15	1	1	1.0
ssj69.430.1641	2.611111111111111	2.0309312618133464	6	24	6	2	3.0
ssj455.2506.8834	2.7586206896551726	1.4736360665228796	8	34	4	2	2.0
ssj377.2167.7689	1.5	0.05889151782819164	3	4	1	1	1.0
elexiswsd1.701.sl.131519	2.2	1.6052885110267527	6	19	2	1	2.0
ssj144.989.3736	2.3076923076923075	0.44622665453014976	6	17	4	1	4.0
ssj469.2545.9035	3.4444444444444446	0.20842325179915527	4	13	2	1	2.0
ssj123.782.2971	3.1818181818181817	1.6705431167188833	7	28	1	1	1.0
ssj282.1742.6196	2.96	1.2173958246580767	6	28	3	2	1.5
elexiswsd1.960.sl.131779	2.769230769230769	0.81321124207025	4	16	2	1	2.0
ssj294.1797.6371	2.2	1.1675541423498028	4	13	2	1	2.0
ssj360.2081.7375	3.3529411764705883	1.3053810369178835	5	22	3	2	1.5
ssj383.2181.7739	2.090909090909091	1.2660676494854564	5	12	2	1	2.0
ssj324.1925.6854	1.6	0.8840214713053695	3	7	1	1	1.0
ssj141.901.3455	1.8666666666666667	1.5345897476951615	6	18	3	2	1.5
ssj375.2160.7669	1.7	1.3138114759947979	6	14	3	1	3.0
elexiswsd1.1499.sl.132324	2.2	0.01626159585277994	5	7	1	1	1.0
ssj259.1654.5945	3.16	1.5574781735033894	6	28	2	1	2.0
ssj54.342.1392	3.2	0.7928606929083921	6	29	3	2	1.5
ssj434.2395.8405	1.9285714285714286	1.4674680846356092	7	17	2	1	2.0
ssj226.1485.5407	2.8846153846153846	1.4655364281099401	7	29	3	2	1.5
ssj95.622.2375	n/a	n/a	2	2	1	1	1.0
ssj27.146.589	1.8	1.1128120259289587	4	7	1	1	1.0
ssj84.553.2100	2.4705882352941178	0.5121503978009557	6	22	1	1	1.0
ssj230.1530.5544	4.352941176470588	1.44362105965715	6	21	2	1	2.0
ssj320.1903.6792	2.5517241379310347	0.7468786517755411	8	32	4	2	2.0
elexiswsd1.40.sl.130854	2.272727272727273	1.2738468189433825	4	15	1	1	1.0
ssj66.416.1599	2.0	1.0986122886681098	7	21	2	1	2.0
ssj133.858.3292	3.033333333333333	1.2840837465363284	7	34	3	1	3.0
elexiswsd1.693.sl.131511	3.1666666666666665	1.097225325226747	4	22	4	2	2.0
ssj369.2111.7501	3.789473684210526	1.3389399861327906	4	24	2	2	1.0
ssj139.887.3405	2.25	1.817817469797562	5	21	2	1	2.0
ssj401.2245.7927	2.5	1.6212961757427584	6	21	2	1	2.0
ssj421.2341.8243	1.3333333333333333	0.8109302162163288	2	5	1	1	1.0
ssj114.712.2670	2.9411764705882355	2.2066318197978623	7	41	5	1	5.0
ssj322.1914.6827	1.4	1.1613939001557827	3	7	1	1	1.0
ssj413.2303.8117	1.8888888888888888	1.4355785964757697	3	12	2	1	2.0
ssj12.49.225	2.2666666666666666	1.4315945116511812	10	34	3	2	1.5
ssj139.892.3419	3.1363636363636362	1.6449105003342146	6	28	4	1	4.0
ssj255.1642.5912	2.6	1.3470736479666092	8	29	7	4	1.75
ssj360.2076.7349	3.125	1.051579034148576	4	18	2	1	2.0
ssj42.247.987	3.1363636363636362	1.8190638474683223	5	28	3	1	3.0
ssj223.1464.5324	2.5	1.5686159179138452	5	21	2	2	1.0
ssj260.1661.5973	2.4285714285714284	1.1842641681948636	3	10	2	1	2.0
ssj344.2010.7140	2.4285714285714284	1.125372650366672	5	18	2	2	1.0
ssj325.1937.6891	2.411764705882353	1.3409669055970665	5	21	2	2	1.0
ssj5.20.69	2.8823529411764706	0.3579997179736975	5	20	3	2	1.5
ssj116.728.2742	1.8	0.7662384356489861	3	7	1	1	1.0
ssj449.2464.8615	2.0	0.5493061443340547	2	5	1	1	1.0
ssj59.366.1473	2.6153846153846154	0.32106351157614366	5	16	3	2	1.5
ssj131.836.3199	2.0	0.752038698388137	3	8	1	1	1.0
ssj252.1621.5856	2.1818181818181817	1.1119362594095554	7	13	1	1	1.0
ssj260.1656.5950	2.272727272727273	0.9272732286634099	5	14	2	1	2.0
ssj92.609.2299	2.0	1.7328679513998633	5	19	2	2	1.0
ssj446.2436.8557	2.0	0.27980789396771144	4	9	1	1	1.0
ssj86.573.2182	3.1052631578947367	1.1438399810609914	5	24	3	1	3.0
elexiswsd1.856.sl.131674	2.5	1.3336141032909774	4	21	2	2	1.0
ssj256.1646.5922	2.0	1.2628643221541278	5	12	1	1	1.0
ssj82.539.2055	2.3636363636363638	1.3784671420159917	6	26	2	2	1.0
ssj470.2555.9102	2.857142857142857	1.589235205116581	6	17	2	1	2.0
ssj131.839.3216	1.6666666666666667	1.189773067065087	3	8	2	1	2.0
elexiswsd1.89.sl.130904	1.75	1.1732521634644406	4	10	1	1	1.0
ssj61.380.1520	2.8461538461538463	0.9296533041080258	5	18	2	2	1.0
elexiswsd1.184.sl.131000	2.1333333333333333	0.5963393988535886	7	20	3	1	3.0
ssj401.2246.7930	1.8235294117647058	1.5089799921591232	8	20	2	1	2.0
elexiswsd1.608.sl.131425	2.6666666666666665	1.3602363605503838	5	13	1	1	1.0
ssj124.788.2985	2.9615384615384617	0.5433393851785391	6	32	2	2	1.0
ssj193.1298.4691	1.8	0.9100794718748765	3	7	1	1	1.0
elexiswsd1.1416.sl.132238	4.0	0.7920600522249054	7	44	2	1	2.0
ssj319.1901.6789	1.7272727272727273	1.625359004558772	4	13	1	1	1.0
ssj372.2138.7606	2.764705882352941	1.6421257392682658	4	19	1	1	1.0
elexiswsd1.170.sl.130986	2.2222222222222223	0.9932517730102833	7	22	3	2	1.5
ssj215.1427.5175	2.5	1.5686159179138452	11	42	6	3	2.0
ssj257.1651.5936	3.142857142857143	0.867543541064572	3	9	1	1	1.0
ssj93.612.2321	n/a	n/a	1	1	1	1	1.0
ssj130.823.3096	1.3333333333333333	0.8109302162163288	2	5	1	1	1.0
elexiswsd1.956.sl.131775	2.3333333333333335	1.3114461963809516	4	18	2	1	2.0
ssj192.1261.4567	4.515151515151516	1.7630762551159727	6	42	3	2	1.5
elexiswsd1.534.sl.131351	2.0	1.0986122886681098	5	14	1	1	1.0
ssj406.2266.7993	2.32	1.4610179073158271	8	28	2	1	2.0
ssj36.213.879	2.0	0.0	3	6	1	1	1.0
elexiswsd1.1559.sl.132384	2.076923076923077	1.4474669048020035	7	16	2	1	2.0
ssj77.505.1901	2.1785714285714284	1.4367390454235496	10	33	3	2	1.5
ssj45.275.1105	2.8	1.7877753844034665	7	39	4	2	2.0
ssj141.908.3478	2.4285714285714284	1.125372650366672	5	18	1	1	1.0
ssj121.779.2953	2.8333333333333335	0.5475730403458116	4	15	2	1	2.0
elexiswsd1.1051.sl.131870	3.3333333333333335	0.9547712524422194	6	18	2	1	2.0
ssj456.2507.8851	2.25	0.5753641449035618	4	11	2	1	2.0
ssj6.32.104	1.3333333333333333	0.9547712524422192	3	5	1	1	1.0
ssj54.345.1399	1.5	1.0397207708399179	4	8	1	1	1.0
ssj86.569.2161	2.88	1.8711762830938752	5	32	2	1	2.0
ssj379.2172.7714	2.2857142857142856	0.4928500916231614	3	11	2	2	1.0
ssj327.1959.6974	2.6	2.070533139434772	6	27	1	1	1.0
ssj279.1734.6146	2.92	1.2310014767138553	5	30	7	5	1.4
elexiswsd1.1446.sl.132268	2.111111111111111	0.3513978868378886	6	11	2	2	1.0
ssj205.1378.4996	2.0	1.1512925464970227	4	12	2	2	1.0
ssj453.2495.8775	2.0	0.5493061443340547	2	5	1	1	1.0
ssj280.1738.6171	2.5185185185185186	1.528966550047437	8	32	5	3	1.6666666666666667
ssj131.832.3187	2.5	0.326162593019845	3	7	1	1	1.0
ssj91.602.2272	2.1	1.1025023823275908	8	24	2	1	2.0
ssj321.1910.6823	4.230769230769231	0.6448098071768843	6	18	3	1	3.0
ssj188.1238.4509	3.5	0.6160718406463163	2	8	1	1	1.0
elexiswsd1.1128.sl.131947	2.1333333333333333	1.289486579413534	6	19	2	1	2.0
ssj408.2271.8022	1.8125	1.3408933977072526	7	19	2	1	2.0
ssj425.2364.8310	2.782608695652174	1.44023797514808	6	28	3	2	1.5
ssj450.2465.8620	2.5	0.5815754049028404	2	6	1	1	1.0
ssj215.1425.5169	2.0	1.9197261562966552	11	34	2	1	2.0
ssj295.1801.6383	2.0833333333333335	1.4814392243414563	5	14	1	1	1.0
ssj89.589.2217	2.8666666666666667	0.994022366519698	4	18	2	1	2.0
ssj5.19.64	2.375	1.4171766582473135	5	21	2	1	2.0
ssj74.469.1759	2.9	0.08658180950459464	5	12	1	1	1.0
elexiswsd1.294.sl.131110	1.7272727272727273	1.2017100743651703	5	15	3	1	3.0
ssj260.1667.5985	1.7142857142857142	1.127105754354915	4	9	2	1	2.0
elexiswsd1.1607.sl.132432	2.7	1.130995848014396	4	12	1	1	1.0
ssj141.901.3451	3.44	0.37396644104879345	6	32	3	1	3.0
ssj93.616.2332	2.0625	1.4670944781102417	5	19	3	3	1.0
ssj80.523.1972	2.3333333333333335	0.29799171605314895	3	6	2	1	2.0
ssj325.1930.6868	1.875	0.9604182557515986	4	11	1	1	1.0
elexiswsd1.601.sl.131418	3.7	1.6061399891549248	5	25	3	2	1.5
elexiswsd1.1510.sl.132335	1.75	1.02941112723855	4	10	1	1	1.0
elexiswsd1.1591.sl.132416	2.2857142857142856	0.8394236819031342	3	9	1	1	1.0
ssj79.517.1957	2.5454545454545454	0.8139445433564068	4	14	1	1	1.0
elexiswsd1.582.sl.131399	2.0	1.5993365587753408	6	16	1	1	1.0
ssj171.1169.4266	1.25	1.2747225854627857	4	6	1	1	1.0
ssj238.1569.5684	2.0	0.1438410362258906	3	5	1	1	1.0
ssj261.1669.5991	4.76	1.7328381591840087	7	30	2	1	2.0
ssj220.1449.5248	2.8125	0.9015267379234069	4	19	1	1	1.0
ssj209.1397.5068	4.0256410256410255	2.048534576280262	10	45	4	1	4.0
ssj383.2186.7760	1.5	1.2951335827229133	3	8	1	1	1.0
ssj4.15.50	1.6153846153846154	1.7758566729965386	7	14	1	1	1.0
ssj46.299.1210	3.1	1.171182981502945	5	14	3	1	3.0
ssj107.682.2585	2.789473684210526	1.3422462898115664	5	23	3	3	1.0
ssj216.1435.5200	4.888888888888889	1.996553881874068	8	42	4	1	4.0
ssj414.2306.8127	2.6666666666666665	0.8109302162163288	4	12	2	1	2.0
elexiswsd1.154.sl.130970	2.619047619047619	1.3641694275697138	5	25	3	2	1.5
ssj304.1848.6542	2.9047619047619047	1.9781710112735347	5	27	2	1	2.0
elexiswsd1.1519.sl.132344	1.5	0.9808292530117262	4	6	2	1	2.0
elexiswsd1.35.sl.130849	1.875	1.215831067634594	3	10	1	1	1.0
elexiswsd1.180.sl.130996	2.2	1.885096404994464	6	18	2	1	2.0
ssj142.937.3588	1.0	0.5493061443340547	2	5	1	1	1.0
ssj44.268.1075	2.727272727272727	1.4380988524294007	4	14	4	2	2.0
ssj80.520.1967	3.2222222222222223	0.27511462629782757	5	22	3	3	1.0
ssj133.866.3315	2.0	0.916290731874155	3	7	1	1	1.0
ssj233.1540.5573	2.142857142857143	1.1066947570947876	6	18	2	1	2.0
ssj310.1867.6624	4.235294117647059	1.0128746679081868	6	22	2	1	2.0
elexiswsd1.1020.sl.131839	2.0	1.1756876285817388	3	9	1	1	1.0
ssj105.673.2553	2.7142857142857144	1.5634531595905024	4	25	2	1	2.0
ssj389.2221.7857	2.0	1.1512925464970227	4	9	3	1	3.0
ssj310.1863.6601	1.3333333333333333	1.1575038064963012	4	8	1	1	1.0
ssj24.120.506	3.0	0.6019864021629681	2	7	1	1	1.0
ssj46.286.1145	3.2142857142857144	1.6497896414295636	5	35	2	1	2.0
ssj78.513.1933	2.5	0.6727361832998177	2	7	1	1	1.0
ssj324.1922.6847	3.238095238095238	1.9363028665830007	7	26	2	1	2.0
ssj12.45.200	1.8333333333333333	1.0944628872607622	4	8	1	1	1.0
ssj353.2052.7255	2.2222222222222223	1.4513971389473608	3	14	2	1	2.0
ssj54.350.1412	2.25	1.6598909950883234	6	24	2	1	2.0
ssj299.1814.6425	1.8571428571428572	1.0470630466813786	4	10	2	2	1.0
ssj141.901.3456	2.5	0.02041099726012762	3	8	1	1	1.0
ssj190.1240.4516	1.4	1.2729656758128876	3	7	1	1	1.0
ssj83.547.2085	2.5185185185185186	1.6972026683580435	9	32	3	2	1.5
ssj101.650.2488	2.888888888888889	1.4829262069309292	6	32	4	3	1.3333333333333333
elexiswsd1.1379.sl.132201	1.75	1.7225583077984954	5	14	1	1	1.0
ssj155.1055.3946	6.258064516129032	0.11687735233560885	5	49	2	2	1.0
elexiswsd1.1069.sl.131888	1.8	0.2169322913149312	4	7	1	1	1.0
ssj118.756.2852	n/a	n/a	2	4	1	1	1.0
ssj306.1853.6566	2.5	1.4247748816879549	4	14	1	1	1.0
elexiswsd1.762.sl.131580	2.142857142857143	1.6560009014288424	5	16	2	2	1.0
ssj75.472.1770	2.7142857142857144	0.5237323887505843	7	25	4	2	2.0
ssj157.1071.4007	4.2105263157894735	2.0818041151868294	6	45	4	2	2.0
ssj188.1238.4504	3.2666666666666666	1.4897836683503178	4	17	1	1	1.0
ssj298.1811.6412	4.425	1.7737761206251834	7	46	3	2	1.5
ssj348.2028.7185	3.125	0.09971351234844669	3	12	3	3	1.0
ssj142.924.3530	2.0	1.354025100551105	5	12	2	1	2.0
elexiswsd1.1223.sl.132042	1.5714285714285714	1.3256889070016495	3	9	1	1	1.0
ssj263.1674.6003	2.3333333333333335	0.5978880185608786	3	8	1	1	1.0
ssj152.1038.3896	3.111111111111111	0.3102059461090977	4	11	1	1	1.0
ssj370.2121.7545	2.7777777777777777	0.7701082216960736	4	15	3	2	1.5
ssj403.2251.7952	2.0	0.3465735902799726	3	5	1	1	1.0
ssj318.1899.6774	5.333333333333333	1.7102701722526432	7	33	1	1	1.0
ssj226.1486.5411	1.6666666666666667	0.38505411084803665	3	7	1	1	1.0
ssj456.2508.8865	2.3333333333333335	1.4026069747779288	5	22	2	1	2.0
ssj132.847.3249	2.3333333333333335	0.3951554645067964	5	15	2	1	2.0
ssj54.339.1384	3.7	0.882680497686762	4	26	2	2	1.0
ssj284.1749.6222	2.6666666666666665	1.013662770270411	3	10	1	1	1.0
ssj200.1339.4836	1.3333333333333333	0.8109302162163288	2	5	1	1	1.0
ssj144.968.3689	2.0555555555555554	1.4177869047599678	7	21	3	1	3.0
ssj413.2295.8096	1.8	0.9100794718748765	3	7	1	1	1.0
elexiswsd1.4.sl.130817	1.3333333333333333	1.7068099508303565	5	11	1	1	1.0
ssj165.1131.4167	3.4285714285714284	1.503991655543105	7	20	1	1	1.0
ssj237.1564.5667	2.111111111111111	0.6979714771178611	5	12	2	1	2.0
ssj409.2272.8024	2.9565217391304346	1.8032622835252472	5	26	1	1	1.0
ssj303.1845.6532	1.7692307692307692	1.4050770008231006	6	15	1	1	1.0
elexiswsd1.1122.sl.131941	1.6363636363636365	1.2557772956354458	6	15	1	1	1.0
ssj126.802.3033	2.8	1.0946282038435213	3	13	2	1	2.0
ssj242.1585.5742	3.25	0.13893422550172813	4	11	2	1	2.0
ssj345.2015.7154	2.92	1.3425732523709604	5	29	3	3	1.0
ssj435.2400.8425	3.3333333333333335	1.214168149149803	5	22	2	2	1.0
ssj345.2013.7148	1.5	0.49041462650586304	2	4	1	1	1.0
ssj195.1318.4756	2.4	0.8251299534771779	8	34	2	1	2.0
elexiswsd1.55.sl.130869	3.125	1.489313402825526	5	31	3	1	3.0
ssj79.516.1950	2.1379310344827585	2.1227569963338047	8	33	3	1	3.0
ssj85.561.2136	2.2857142857142856	1.2975690478402115	4	17	2	1	2.0
ssj179.1212.4422	2.857142857142857	1.3094273111488697	5	17	3	2	1.5
ssj142.917.3505	2.15	1.7721190654773422	6	23	3	2	1.5
ssj317.1893.6752	2.5555555555555554	1.2000634209150973	4	12	2	1	2.0
ssj279.1730.6128	1.875	1.3069918460315713	4	10	1	1	1.0
ssj46.309.1256	2.2	1.6641800288549444	5	17	1	1	1.0
ssj364.2091.7413	3.0	1.4451858789480823	6	31	4	2	2.0
ssj375.2155.7653	2.7058823529411766	0.421178619595229	5	20	1	1	1.0
ssj73.464.1746	2.6666666666666665	2.191988927402572	6	36	4	2	2.0
ssj191.1253.4550	2.125	0.9790961490234832	3	10	1	1	1.0
ssj75.487.1825	2.2	0.3628351861327527	5	12	1	1	1.0
ssj220.1450.5252	2.8620689655172415	1.7307154258512227	7	33	2	1	2.0
ssj203.1363.4942	2.1176470588235294	1.215607221962269	8	21	5	1	5.0
ssj68.425.1622	2.0833333333333335	1.404363884427827	8	28	3	2	1.5
elexiswsd1.468.sl.131285	2.3333333333333335	1.0215369487544805	4	8	1	1	1.0
ssj116.728.2744	1.6666666666666667	1.078201291407982	3	8	1	1	1.0
ssj6.33.117	1.6666666666666667	0.038480520568064065	3	5	1	1	1.0
ssj476.2572.9165	2.526315789473684	1.2386046384017153	5	22	2	2	1.0
ssj412.2285.8063	2.6	1.2355018723095044	5	23	3	3	1.0
ssj133.854.3280	2.75	1.0355713694325706	4	15	2	2	1.0
ssj383.2186.7764	2.176470588235294	1.332049284000045	7	20	2	1	2.0
ssj134.880.3372	2.9285714285714284	1.7672751465802918	7	50	5	3	1.6666666666666667
elexiswsd1.1616.sl.132441	2.466666666666667	1.255876345226141	5	19	2	2	1.0
ssj25.126.521	2.2857142857142856	0.8394236819031342	3	9	1	1	1.0
ssj22.112.478	2.0	0.8958797346140274	5	11	2	2	1.0
ssj234.1552.5616	2.6666666666666665	1.177914803756429	4	18	2	2	1.0
ssj93.611.2315	3.111111111111111	0.3102059461090977	5	13	2	2	1.0
ssj470.2556.9106	2.0	0.34657359027997275	3	7	1	1	1.0
ssj40.241.967	3.533333333333333	0.7849305686611386	5	35	3	2	1.5
elexiswsd1.869.sl.131688	2.5714285714285716	0.9243732003008327	4	17	2	2	1.0
ssj409.2273.8027	2.857142857142857	2.2257180430230243	7	31	3	2	1.5
ssj166.1141.4207	2.142857142857143	1.0155339786978101	3	9	1	1	1.0
ssj446.2442.8570	2.176470588235294	1.44362105965715	5	19	3	3	1.0
ssj425.2364.8308	3.076923076923077	1.400997906972369	4	15	2	1	2.0
ssj230.1531.5548	1.8888888888888888	1.1557707025080584	5	12	2	1	2.0
ssj324.1923.6849	2.1666666666666665	1.0956449209082024	3	8	1	1	1.0
ssj456.2509.8876	3.0	0.996215082345103	8	28	4	1	4.0
ssj459.2518.8928	2.1666666666666665	1.6449510652422574	6	20	1	1	1.0
elexiswsd1.201.sl.131017	3.0	1.3862943611198906	4	16	1	1	1.0
ssj203.1365.4955	2.2857142857142856	1.465805166150818	4	17	2	1	2.0
ssj153.1045.3920	2.0	0.3465735902799726	3	5	1	1	1.0
ssj358.2067.7315	2.6666666666666665	0.464356625936356	4	11	2	2	1.0
ssj141.898.3436	2.3461538461538463	1.1228445331388843	8	31	3	2	1.5
ssj142.958.3660	1.0	0.5493061443340547	2	5	1	1	1.0
ssj172.1179.4301	8.0	0.4258761053682919	8	63	2	2	1.0
ssj106.676.2564	15.96116504854369	0.4527940932716715	6	137	2	1	2.0
ssj90.590.2223	2.7142857142857144	1.0141470152564473	3	9	1	1	1.0
ssj455.2503.8810	1.6666666666666667	0.038480520568064065	3	5	1	1	1.0
ssj476.2571.9161	1.6666666666666667	0.038480520568064065	4	6	1	1	1.0
ssj142.918.3515	n/a	n/a	2	2	1	1	1.0
ssj6.33.120	3.5714285714285716	0.739710169554687	4	18	2	2	1.0
ssj126.795.3017	2.0	0.9547712524422192	4	12	1	1	1.0
ssj193.1282.4635	2.0	0.0	3	6	1	1	1.0
ssj99.638.2456	2.35	1.7420630972890376	5	22	2	2	1.0
ssj42.252.1010	2.3333333333333335	1.1998744207238468	4	16	2	2	1.0
ssj144.971.3699	3.25	0.8685172847694043	5	24	2	2	1.0
ssj133.874.3349	2.4166666666666665	0.9093702890295814	5	15	2	1	2.0
ssj231.1537.5562	1.5	0.05889151782819164	3	5	1	1	1.0
elexiswsd1.510.sl.131327	2.111111111111111	1.2472776214519161	6	22	2	2	1.0
ssj191.1248.4535	2.6	1.168736175997243	3	16	2	2	1.0
ssj325.1933.6874	3.189189189189189	1.68541301534059	8	42	4	3	1.3333333333333333
ssj234.1550.5607	5.26	2.2903724992465917	12	62	5	3	1.6666666666666667
ssj18.84.320	3.2	0.5374478810253969	4	14	2	1	2.0
